Indicator,Cities,Country,Region,Percentage_Value,Estimate_source,ObjectId
Proportion of population with access to public transport,Mzuzu,Malawi,Sub-Saharan Africa,21.4,UN-Habitat Urban Indicators Database,295
Proportion of population with access to public transport,Guadalajara,Mexico,Latin America and the Caribbean,21.46,UN-Habitat Urban Indicators Database,296
Proportion of population with access to public transport,Kasese,Uganda,Sub-Saharan Africa,21.49,UN-Habitat Urban Indicators Database,297
Proportion of population with access to public transport,Diyarb Najm,Egypt,Western Asia and Northern Africa ,21.6,UN-Habitat Urban Indicators Database,298
Proportion of population with access to public transport,Arusha,Tanzania,Sub-Saharan Africa,21.7,UN-Habitat Urban Indicators Database,299
Proportion of population with access to public transport,Bayamo,Cuba,Latin America and the Caribbean,21.87,UN-Habitat Urban Indicators Database,300
Proportion of population with access to public transport,Shymkent,Kazakhstan,Central Asia and Southern Asia,22.17,UN-Habitat Urban Indicators Database,301
Proportion of population with access to public transport,Ziguinchor,Senegal,Sub-Saharan Africa,22.39,UN-Habitat Urban Indicators Database,302
Proportion of population with access to public transport,Kashan ,Iran,Central Asia and Southern Asia,22.51,UN-Habitat Urban Indicators Database,303
Proportion of population with access to public transport,Qom,Iran,Central Asia and Southern Asia,22.61,UN-Habitat Urban Indicators Database,304
Proportion of population with access to public transport,Amran,Yemen,Western Asia and Northern Africa ,22.68,UN-Habitat Urban Indicators Database,305
Proportion of population with access to public transport,Asyut,Egypt,Western Asia and Northern Africa ,22.78,UN-Habitat Urban Indicators Database,306
Proportion of population with access to public transport,Riviera,Uruguay,Latin America and the Caribbean,23.04,UN-Habitat Urban Indicators Database,307
Proportion of population with access to public transport,Nawabshah,Pakistan,Central Asia and Southern Asia,23.05,UN-Habitat Urban Indicators Database,308
Proportion of population with access to public transport,Tashkent,Uzbekistan,Central Asia and Southern Asia,23.06,UN-Habitat Urban Indicators Database,309
Proportion of population with access to public transport,Adapazari,Turkey,Western Asia and Northern Africa ,23.25,UN-Habitat Urban Indicators Database,310
Proportion of population with access to public transport,"Muscat( includes :Bawashar, Matrah, Aseed(Assib))",Oman,Western Asia and Northern Africa ,30.76,UN-Habitat Urban Indicators Database,311
Proportion of population with access to public transport,Makkah,Saudi Arabia,Western Asia and Northern Africa ,5.49,UN-Habitat Urban Indicators Database,312
Proportion of population with access to public transport,Sannar,Sudan,Western Asia and Northern Africa ,5.54,UN-Habitat Urban Indicators Database,313
Proportion of population with access to public transport,Sinjah,Sudan,Western Asia and Northern Africa ,5.6,UN-Habitat Urban Indicators Database,314
Proportion of population with access to public transport,Port Elizabeth,South Africa,Sub-Saharan Africa,5.61,UN-Habitat Urban Indicators Database,315
Proportion of population with access to public transport,Gujranwala,Pakistan,Central Asia and Southern Asia,5.63,UN-Habitat Urban Indicators Database,316
Proportion of population with access to public transport,Tijuana,Mexico,Latin America and the Caribbean,5.92,UN-Habitat Urban Indicators Database,317
Proportion of population with access to public transport,Peshawar,Pakistan,Central Asia and Southern Asia,6.2,UN-Habitat Urban Indicators Database,318
Proportion of population with access to public transport,Ar'ar,Saudi Arabia,Western Asia and Northern Africa ,6.64,UN-Habitat Urban Indicators Database,319
Proportion of population with access to public transport,Kassala,Sudan,Western Asia and Northern Africa ,6.86,UN-Habitat Urban Indicators Database,320
Proportion of population with access to public transport,Parepare,Indonesia,Eastern Asia and South-Eastern Asia,7.28,UN-Habitat Urban Indicators Database,321
Proportion of population with access to public transport,Gombe,Nigeria,Sub-Saharan Africa,7.46,UN-Habitat Urban Indicators Database,322
Proportion of population with access to public transport,Al-Khafji,Saudi Arabia,Western Asia and Northern Africa ,7.54,UN-Habitat Urban Indicators Database,323
Proportion of population with access to public transport,"Ghazzah (includes Jabaiyah, Bayt L?h?y?, ",Palestinian territories ,Western Asia and Northern Africa ,7.71,UN-Habitat Urban Indicators Database,324
Proportion of population with access to public transport,Beira,Mozambique,Sub-Saharan Africa,7.85,UN-Habitat Urban Indicators Database,325
Proportion of population with access to public transport,Cirebon,Indonesia,Eastern Asia and South-Eastern Asia,8.03,UN-Habitat Urban Indicators Database,326
Proportion of population with access to public transport,Pematangtiantar,Indonesia,Eastern Asia and South-Eastern Asia,8.04,UN-Habitat Urban Indicators Database,327
Proportion of population with access to public transport,Baghdad,Iraq,Western Asia and Northern Africa ,8.11,UN-Habitat Urban Indicators Database,328
Proportion of population with access to public transport,Bukhara,Uzbekistan,Central Asia and Southern Asia,8.17,UN-Habitat Urban Indicators Database,329
Proportion of population with access to public transport,Turbat,Pakistan,Central Asia and Southern Asia,8.18,UN-Habitat Urban Indicators Database,330
Proportion of population with access to public transport,Baalbek,Lebanon,Western Asia and Northern Africa ,8.24,UN-Habitat Urban Indicators Database,331
Proportion of population with access to public transport,Vinh Long,Vietnam,Eastern Asia and South-Eastern Asia,8.28,UN-Habitat Urban Indicators Database,332
Proportion of population with access to public transport,Masaka,Uganda,Sub-Saharan Africa,8.43,UN-Habitat Urban Indicators Database,333
Proportion of population with access to public transport,Quetta,Pakistan,Central Asia and Southern Asia,8.49,UN-Habitat Urban Indicators Database,334
Proportion of population with access to public transport,Culiacan,Mexico,Latin America and the Caribbean,8.56,UN-Habitat Urban Indicators Database,335
Proportion of population with access to public transport,Riyadh,Saudi Arabia,Western Asia and Northern Africa ,8.63,UN-Habitat Urban Indicators Database,336
Proportion of population with access to public transport,Dosso,Niger,Sub-Saharan Africa,9,UN-Habitat Urban Indicators Database,337
Proportion of population with access to public transport,Ndola,Zambia,Sub-Saharan Africa,9.39,UN-Habitat Urban Indicators Database,338
Proportion of population with access to public transport,Sinuiju ,Democratic People's Republic of Korea (North Korea),Eastern Asia and South-Eastern Asia,9.78,UN-Habitat Urban Indicators Database,339
Proportion of population with access to public transport,Al Ain,UAE,Western Asia and Northern Africa ,9.83,UN-Habitat Urban Indicators Database,340
Proportion of population with access to public transport,Sialkot,Pakistan,Central Asia and Southern Asia,9.91,UN-Habitat Urban Indicators Database,341
Proportion of population with access to public transport,Al Buryami,Oman,Western Asia and Northern Africa ,9.96,UN-Habitat Urban Indicators Database,342
Proportion of population with access to public transport,Qarshi,Uzbekistan,Central Asia and Southern Asia,9.99,UN-Habitat Urban Indicators Database,343
Proportion of population with access to public transport,"Amman (Includes Az-zarqa, Ar-Rusayfah, Al-Quwaysimah,Tila al-Ali, Wadi as-sir, Al-Jubayhah, Khraibat as-suq and Sahab)",Jordan,Western Asia and Northern Africa ,10.05,UN-Habitat Urban Indicators Database,344
Proportion of population with access to public transport,Atbara,Sudan,Western Asia and Northern Africa ,10.14,UN-Habitat Urban Indicators Database,345
Proportion of population with access to public transport,Denau,Uzbekistan,Central Asia and Southern Asia,10.19,UN-Habitat Urban Indicators Database,346
Proportion of population with access to public transport,"Guixi, Chongqing",China,Eastern Asia and South-Eastern Asia,10.26,UN-Habitat Urban Indicators Database,347
Proportion of population with access to public transport,Jequie,Brazil,Latin America and the Caribbean,10.37,UN-Habitat Urban Indicators Database,348
Proportion of population with access to public transport,Nampula,Mozambique,Sub-Saharan Africa,10.37,UN-Habitat Urban Indicators Database,349
Proportion of population with access to public transport,Myitkyina,Myanmar,Eastern Asia and South-Eastern Asia,10.47,UN-Habitat Urban Indicators Database,350
Proportion of population with access to public transport,Wad Madani,Sudan,Western Asia and Northern Africa ,10.54,UN-Habitat Urban Indicators Database,351
Proportion of population with access to public transport,Tyre,Lebanon,Western Asia and Northern Africa ,10.62,UN-Habitat Urban Indicators Database,352
Proportion of population with access to public transport,Luanda,Angola,Sub-Saharan Africa,10.67,UN-Habitat Urban Indicators Database,353
Proportion of population with access to public transport,Daska,Pakistan,Central Asia and Southern Asia,11.09,UN-Habitat Urban Indicators Database,354
Proportion of population with access to public transport,Lira,Uganda,Sub-Saharan Africa,11.18,UN-Habitat Urban Indicators Database,355
Proportion of population with access to public transport,Parakou,Benin,Sub-Saharan Africa,11.22,UN-Habitat Urban Indicators Database,356
Proportion of population with access to public transport,Tripoli,Lebanon,Western Asia and Northern Africa ,30.88,UN-Habitat Urban Indicators Database,357
Proportion of population with access to public transport,Zinder,Niger,Sub-Saharan Africa,31.03,UN-Habitat Urban Indicators Database,358
Proportion of population with access to public transport,Toamasina,Madagascar,Sub-Saharan Africa,31.06,UN-Habitat Urban Indicators Database,359
Proportion of population with access to public transport,Lahore,Pakistan,Central Asia and Southern Asia,31.19,UN-Habitat Urban Indicators Database,360
Proportion of population with access to public transport,Semei,Kazakhstan,Central Asia and Southern Asia,31.23,UN-Habitat Urban Indicators Database,361
Proportion of population with access to public transport,Liberia,Costa Rica,Latin America and the Caribbean,31.43,UN-Habitat Urban Indicators Database,362
Proportion of population with access to public transport,Myede,Myanmar,Eastern Asia and South-Eastern Asia,31.48,UN-Habitat Urban Indicators Database,363
Proportion of population with access to public transport,Addis Ababa,Ethiopia,Sub-Saharan Africa,31.54,UN-Habitat Urban Indicators Database,364
Proportion of population with access to public transport,Maknes,Morocco,Western Asia and Northern Africa ,31.6,UN-Habitat Urban Indicators Database,365
Proportion of population with access to public transport,Gurue,Mozambique,Sub-Saharan Africa,31.63,UN-Habitat Urban Indicators Database,366
Proportion of population with access to public transport,Tamanrasset,Algeria,Western Asia and Northern Africa ,32.23,UN-Habitat Urban Indicators Database,367
Proportion of population with access to public transport,Multan,Pakistan,Central Asia and Southern Asia,32.23,UN-Habitat Urban Indicators Database,368
Proportion of population with access to public transport,Azrou,Morocco,Western Asia and Northern Africa ,32.3,UN-Habitat Urban Indicators Database,369
Proportion of population with access to public transport,Diorbel,Senegal,Sub-Saharan Africa,32.35,UN-Habitat Urban Indicators Database,370
Proportion of population with access to public transport,Zomba,Malawi,Sub-Saharan Africa,32.38,UN-Habitat Urban Indicators Database,371
Proportion of population with access to public transport,Manila,Philippines,Eastern Asia and South-Eastern Asia,32.46,UN-Habitat Urban Indicators Database,372
Proportion of population with access to public transport,Zrenjanin,Serbia,Northern America and Europe,32.48,UN-Habitat Urban Indicators Database,373
Proportion of population with access to public transport,Lashkar Bah,Afghanistan,Central Asia and Southern Asia,32.7,UN-Habitat Urban Indicators Database,374
Proportion of population with access to public transport,Cyangugu,Rwanda,Sub-Saharan Africa,33.09,UN-Habitat Urban Indicators Database,375
Proportion of population with access to public transport,Semarang,Indonesia,Eastern Asia and South-Eastern Asia,33.41,UN-Habitat Urban Indicators Database,376
Proportion of population with access to public transport,Raleigh,United States,Northern America and Europe,33.45,UN-Habitat Urban Indicators Database,377
Proportion of population with access to public transport,Puerto Limon,Costa Rica,Latin America and the Caribbean,33.51,UN-Habitat Urban Indicators Database,378
Proportion of population with access to public transport,Kragujevac,Serbia,Northern America and Europe,33.58,UN-Habitat Urban Indicators Database,379
Proportion of population with access to public transport,Elbistan,Turkey,Western Asia and Northern Africa ,33.61,UN-Habitat Urban Indicators Database,380
Proportion of population with access to public transport,Al_Qayrawan,Tunisia,Western Asia and Northern Africa ,33.74,UN-Habitat Urban Indicators Database,381
Proportion of population with access to public transport,ChiangMai,Thailand,Eastern Asia and South-Eastern Asia,33.92,UN-Habitat Urban Indicators Database,382
Proportion of population with access to public transport,"Yanggu, Shandong",China,Eastern Asia and South-Eastern Asia,33.94,UN-Habitat Urban Indicators Database,383
Proportion of population with access to public transport,Ankara,Turkey,Western Asia and Northern Africa ,34.01,UN-Habitat Urban Indicators Database,384
Proportion of population with access to public transport,El Khroub,Algeria,Western Asia and Northern Africa ,34.07,UN-Habitat Urban Indicators Database,385
Proportion of population with access to public transport,"Jinan, Shandong",China,Eastern Asia and South-Eastern Asia,34.3,UN-Habitat Urban Indicators Database,386
Proportion of population with access to public transport,Temara,Morocco,Western Asia and Northern Africa ,34.57,UN-Habitat Urban Indicators Database,387
Proportion of population with access to public transport,"Chengdu, Sichuan",China,Eastern Asia and South-Eastern Asia,34.67,UN-Habitat Urban Indicators Database,388
Proportion of population with access to public transport,Melo,Uruguay,Latin America and the Caribbean,34.97,UN-Habitat Urban Indicators Database,389
Proportion of population with access to public transport,Monastir,Tunisia,Western Asia and Northern Africa ,35.25,UN-Habitat Urban Indicators Database,390
Proportion of population with access to public transport,AlKhor_AlThakhira,Qatar,Western Asia and Northern Africa ,35.41,UN-Habitat Urban Indicators Database,391
Proportion of population with access to public transport,Dhamar,Yemen,Western Asia and Northern Africa ,35.42,UN-Habitat Urban Indicators Database,392
Proportion of population with access to public transport,Cheonan,Republic of Korea (South Korea),Eastern Asia and South-Eastern Asia,35.45,UN-Habitat Urban Indicators Database,393
Proportion of population with access to public transport,Thies,Senegal,Sub-Saharan Africa,35.51,UN-Habitat Urban Indicators Database,394
Proportion of population with access to public transport,Maxixe,Mozambique,Sub-Saharan Africa,35.68,UN-Habitat Urban Indicators Database,395
Proportion of population with access to public transport,Oulad teima,Morocco,Western Asia and Northern Africa ,35.71,UN-Habitat Urban Indicators Database,396
Proportion of population with access to public transport,Alexandria,Egypt,Western Asia and Northern Africa ,35.98,UN-Habitat Urban Indicators Database,397
Proportion of population with access to public transport,Bandar Abbas,Iran,Central Asia and Southern Asia,36.34,UN-Habitat Urban Indicators Database,398
Proportion of population with access to public transport,Garut Kota,Indonesia,Eastern Asia and South-Eastern Asia,36.52,UN-Habitat Urban Indicators Database,399
Proportion of population with access to public transport,Kikinda,Serbia,Northern America and Europe,36.78,UN-Habitat Urban Indicators Database,400
Proportion of population with access to public transport,Holguin,Cuba,Latin America and the Caribbean,62.59,UN-Habitat Urban Indicators Database,401
Proportion of population with access to public transport,Coimbatore,India,Central Asia and Southern Asia,62.83,UN-Habitat Urban Indicators Database,402
Proportion of population with access to public transport,Dakar,Senegal,Sub-Saharan Africa,62.98,UN-Habitat Urban Indicators Database,403
Proportion of population with access to public transport,"Guangzhou, Guangdong",China,Eastern Asia and South-Eastern Asia,63.74,UN-Habitat Urban Indicators Database,404
Proportion of population with access to public transport,Carasamba,Turkey,Western Asia and Northern Africa ,63.89,UN-Habitat Urban Indicators Database,405
Proportion of population with access to public transport,Pijnacker / Berkel en Rodenrijs,Netherlands,Northern America and Europe,64.21, European Commission DG REGIO,406
Proportion of population with access to public transport,Banja Luka,Bosnia and Herzegovina,Northern America and Europe,64.29, European Commission DG REGIO,407
Proportion of population with access to public transport,Veenendaal,Netherlands,Northern America and Europe,64.32, European Commission DG REGIO,408
Proportion of population with access to public transport,Midelt,Morocco,Western Asia and Northern Africa ,64.44,UN-Habitat Urban Indicators Database,409
Proportion of population with access to public transport,Bamako,Mali,Sub-Saharan Africa,64.52,UN-Habitat Urban Indicators Database,410
Proportion of population with access to public transport,Jinju,Republic of Korea (South Korea),Eastern Asia and South-Eastern Asia,64.79,UN-Habitat Urban Indicators Database,411
Proportion of population with access to public transport,Leon,Nicaragua,Latin America and the Caribbean,64.84,UN-Habitat Urban Indicators Database,412
Proportion of population with access to public transport,Salihorsk ,Belarus ,Northern America and Europe,65.16,UN-Habitat Urban Indicators Database,413
Proportion of population with access to public transport,Santiago De Cuba,Cuba,Latin America and the Caribbean,65.38,UN-Habitat Urban Indicators Database,414
Proportion of population with access to public transport,Assen,Netherlands,Northern America and Europe,65.41, European Commission DG REGIO,415
Proportion of population with access to public transport,Tarsus,Turkey,Western Asia and Northern Africa ,65.55,UN-Habitat Urban Indicators Database,416
Proportion of population with access to public transport,Berezniki,Russia,Northern America and Europe,65.66,UN-Habitat Urban Indicators Database,417
Proportion of population with access to public transport,Charikar,Afghanistan,Central Asia and Southern Asia,65.86,UN-Habitat Urban Indicators Database,418
Proportion of population with access to public transport,Antsirabe,Madagascar,Sub-Saharan Africa,65.9,UN-Habitat Urban Indicators Database,419
Proportion of population with access to public transport,Arak,Iran,Central Asia and Southern Asia,66.2,UN-Habitat Urban Indicators Database,420
Proportion of population with access to public transport,Muswellbrook,Australia,Australia and New Zealand,66.2,UN-Habitat Urban Indicators Database,421
Proportion of population with access to public transport,Taunggyi,Myanmar,Eastern Asia and South-Eastern Asia,66.23,UN-Habitat Urban Indicators Database,422
Proportion of population with access to public transport,Casablanca. This  includes Mohammedia town ,Morocco,Western Asia and Northern Africa ,66.48,UN-Habitat Urban Indicators Database,423
Proportion of population with access to public transport,Mawlamyine,Myanmar,Eastern Asia and South-Eastern Asia,66.59,UN-Habitat Urban Indicators Database,424
Proportion of population with access to public transport,"Qingdao, Shandong",China,Eastern Asia and South-Eastern Asia,67.06,UN-Habitat Urban Indicators Database,425
Proportion of population with access to public transport,Karachi,Pakistan,Central Asia and Southern Asia,67.56,UN-Habitat Urban Indicators Database,426
Proportion of population with access to public transport,Soest / Baarn,Netherlands,Northern America and Europe,67.78, European Commission DG REGIO,427
Proportion of population with access to public transport,Bor?a,Serbia,Northern America and Europe,68.04, European Commission DG REGIO,428
Proportion of population with access to public transport,"Portland, OR",United States,Northern America and Europe,68.32,UN-Habitat Urban Indicators Database,429
Proportion of population with access to public transport,Denzili,Turkey,Western Asia and Northern Africa ,68.34,UN-Habitat Urban Indicators Database,430
Proportion of population with access to public transport,Ho Chi Minh City,Vietnam,Eastern Asia and South-Eastern Asia,68.65,UN-Habitat Urban Indicators Database,431
Proportion of population with access to public transport,Gold Coast,Australia,Australia and New Zealand,68.91,UN-Habitat Urban Indicators Database,432
Proportion of population with access to public transport,"Kaiping, Guangdong",China,Eastern Asia and South-Eastern Asia,69.34,UN-Habitat Urban Indicators Database,433
Proportion of population with access to public transport,Osaka,Japan,Eastern Asia and South-Eastern Asia,69.42,UN-Habitat Urban Indicators Database,434
Proportion of population with access to public transport,Sydney,Australia,Australia and New Zealand,69.59,UN-Habitat Urban Indicators Database,435
Proportion of population with access to public transport,New York,United States,Northern America and Europe,69.83,UN-Habitat Urban Indicators Database,436
Proportion of population with access to public transport,Dzerzhinsk,Russia,Northern America and Europe,69.83,UN-Habitat Urban Indicators Database,437
Proportion of population with access to public transport,Marovoay,Madagascar,Sub-Saharan Africa,69.91,UN-Habitat Urban Indicators Database,438
Proportion of population with access to public transport,Guantanamo,Cuba,Latin America and the Caribbean,70,UN-Habitat Urban Indicators Database,439
Proportion of population with access to public transport,Yangon,Myanmar,Eastern Asia and South-Eastern Asia,70.46,UN-Habitat Urban Indicators Database,440
Proportion of population with access to public transport,Pozzuoli / Bacoli,Italy,Northern America and Europe,70.46, European Commission DG REGIO,441
Proportion of population with access to public transport,Seoul,Republic of Korea (South Korea),Eastern Asia and South-Eastern Asia,70.56,UN-Habitat Urban Indicators Database,442
Proportion of population with access to public transport,Vijayawada,India,Central Asia and Southern Asia,70.61,UN-Habitat Urban Indicators Database,443
Proportion of population with access to public transport,Tanger,Morocco,Western Asia and Northern Africa ,70.76,UN-Habitat Urban Indicators Database,444
Proportion of population with access to public transport,Antalya,Turkey,Western Asia and Northern Africa ,70.79,UN-Habitat Urban Indicators Database,445
Proportion of population with access to public transport,Curitiba,Brazil,Latin America and the Caribbean,70.86,UN-Habitat Urban Indicators Database,446
Proportion of population with access to public transport,Amparafaravola,Madagascar,Sub-Saharan Africa,70.88,UN-Habitat Urban Indicators Database,447
Proportion of population with access to public transport,"Shenzhen, Guangdong",China,Eastern Asia and South-Eastern Asia,70.98,UN-Habitat Urban Indicators Database,448
Proportion of population with access to public transport,Sittard-Geleen,Netherlands,Northern America and Europe,71.4, European Commission DG REGIO,449
Proportion of population with access to public transport,Hyderabad,India,Central Asia and Southern Asia,71.99,UN-Habitat Urban Indicators Database,450
Proportion of population with access to public transport,Krefeld,Germany,Northern America and Europe,92.04, European Commission DG REGIO,451
Proportion of population with access to public transport,Baku,Azerbaijan,Western Asia and Northern Africa ,83.14,UN-Habitat Urban Indicators Database,452
Proportion of population with access to public transport,Zoetermeer,Netherlands,Northern America and Europe,72.3, European Commission DG REGIO,453
Proportion of population with access to public transport,Torremolinos,Spain,Northern America and Europe,86.85, European Commission DG REGIO,454
Proportion of population with access to public transport,Cz?stochowa,Poland,Northern America and Europe,89.57, European Commission DG REGIO,455
Proportion of population with access to public transport,Leiden,Netherlands,Northern America and Europe,92.95, European Commission DG REGIO,456
Proportion of population with access to public transport,Minsk ,Belarus ,Northern America and Europe,91.03,UN-Habitat Urban Indicators Database,457
Proportion of population with access to public transport,Panev?žys,Lithuania,Northern America and Europe,91.03, European Commission DG REGIO,458
Proportion of population with access to public transport,Antibes,France,Northern America and Europe,91.08, European Commission DG REGIO,459
Proportion of population with access to public transport,Oldenburg (Oldenburg),Germany,Northern America and Europe,91.09, European Commission DG REGIO,460
Proportion of population with access to public transport,Linköping,Sweden,Northern America and Europe,91.11, European Commission DG REGIO,461
Proportion of population with access to public transport,Kasztelanka,Poland,Northern America and Europe,91.13, European Commission DG REGIO,462
Proportion of population with access to public transport,Coimbra,Portugal,Northern America and Europe,91.14, European Commission DG REGIO,463
Proportion of population with access to public transport,Istanbul,Turkey,Western Asia and Northern Africa ,91.14,UN-Habitat Urban Indicators Database,464
Proportion of population with access to public transport,Douai,France,Northern America and Europe,91.16, European Commission DG REGIO,465
Proportion of population with access to public transport,Bracknell,United Kingdom,Northern America and Europe,91.21, European Commission DG REGIO,466
Proportion of population with access to public transport,Hartlepool,United Kingdom,Northern America and Europe,91.27, European Commission DG REGIO,467
Proportion of population with access to public transport,Vicenza,Italy,Northern America and Europe,91.34, European Commission DG REGIO,468
Proportion of population with access to public transport,Harburg,Germany,Northern America and Europe,91.36, European Commission DG REGIO,469
Proportion of population with access to public transport,Bogota,Colombia,Latin America and the Caribbean,91.41,UN-Habitat Urban Indicators Database,470
Proportion of population with access to public transport,Reykjavík,Iceland,Northern America and Europe,91.43, European Commission DG REGIO,471
Proportion of population with access to public transport,Constan?a,Romania,Northern America and Europe,91.44, European Commission DG REGIO,472
Proportion of population with access to public transport,Most,Czech Republic,Northern America and Europe,91.53, European Commission DG REGIO,473
Proportion of population with access to public transport,Darwin,Australia,Australia and New Zealand,91.56,UN-Habitat Urban Indicators Database,474
Proportion of population with access to public transport,Split,Croatia,Northern America and Europe,91.56, European Commission DG REGIO,475
Proportion of population with access to public transport,Odense,Denmark,Northern America and Europe,91.6, European Commission DG REGIO,476
Proportion of population with access to public transport,Belgrade,Serbia,Northern America and Europe,91.61,UN-Habitat Urban Indicators Database,477
Proportion of population with access to public transport,Zgierz,Poland,Northern America and Europe,91.64, European Commission DG REGIO,478
Proportion of population with access to public transport,Venlo,Netherlands,Northern America and Europe,91.65, European Commission DG REGIO,479
Proportion of population with access to public transport,Bari,Italy,Northern America and Europe,91.66, European Commission DG REGIO,480
Proportion of population with access to public transport,Ostrava,Czech Republic,Northern America and Europe,91.67, European Commission DG REGIO,481
Proportion of population with access to public transport,Gda?sk,Poland,Northern America and Europe,91.67, European Commission DG REGIO,482
Proportion of population with access to public transport,Funchal,Portugal,Northern America and Europe,91.69, European Commission DG REGIO,483
Proportion of population with access to public transport,Puerto de la Cruz,Spain,Northern America and Europe,91.69, European Commission DG REGIO,484
Proportion of population with access to public transport,Karlsruhe,Germany,Northern America and Europe,91.69, European Commission DG REGIO,485
Proportion of population with access to public transport,Mainz,Germany,Northern America and Europe,91.7, European Commission DG REGIO,486
Proportion of population with access to public transport,Timi?oara,Romania,Northern America and Europe,91.7, European Commission DG REGIO,487
Proportion of population with access to public transport,Tauranga,New Zealand,Australia and New Zealand,91.71,UN-Habitat Urban Indicators Database,488
Proportion of population with access to public transport,Blanchardstown,Ireland,Northern America and Europe,91.71, European Commission DG REGIO,489
Proportion of population with access to public transport,Arnhem,Netherlands,Northern America and Europe,91.75, European Commission DG REGIO,490
Proportion of population with access to public transport,Aldwick / Felpham,United Kingdom,Northern America and Europe,91.77, European Commission DG REGIO,491
Proportion of population with access to public transport,Braunschweig,Germany,Northern America and Europe,91.8, European Commission DG REGIO,492
Proportion of population with access to public transport,Flensburg,Germany,Northern America and Europe,91.81, European Commission DG REGIO,493
Proportion of population with access to public transport,Bangor,United Kingdom,Northern America and Europe,91.82, European Commission DG REGIO,494
Proportion of population with access to public transport,Mulhouse,France,Northern America and Europe,91.82, European Commission DG REGIO,495
Proportion of population with access to public transport,Košice,Slovakia,Northern America and Europe,91.84, European Commission DG REGIO,496
Proportion of population with access to public transport,Laucenston,Australia,Australia and New Zealand,91.86,UN-Habitat Urban Indicators Database,497
Proportion of population with access to public transport,Luzern,Switzerland,Northern America and Europe,91.9, European Commission DG REGIO,498
Proportion of population with access to public transport,Lübeck,Germany,Northern America and Europe,91.91, European Commission DG REGIO,499
Proportion of population with access to public transport,'s-Gravenhage,Netherlands,Northern America and Europe,91.93, European Commission DG REGIO,500
Proportion of population with access to public transport,Southend-on-Sea,United Kingdom,Northern America and Europe,91.96, European Commission DG REGIO,501
Proportion of population with access to public transport,Rzeszów,Poland,Northern America and Europe,91.99, European Commission DG REGIO,502
Proportion of population with access to public transport,Hannover,Germany,Northern America and Europe,91.99, European Commission DG REGIO,503
Proportion of population with access to public transport,Almería,Spain,Northern America and Europe,92.01, European Commission DG REGIO,504
Proportion of population with access to public transport,Leipzig,Germany,Northern America and Europe,92.01, European Commission DG REGIO,505
Proportion of population with access to public transport,Oslo,Norway,Northern America and Europe,92.01, European Commission DG REGIO,506
Proportion of population with access to public transport,Radom,Poland,Northern America and Europe,92.95, European Commission DG REGIO,507
Proportion of population with access to public transport,Hoorn,Netherlands,Northern America and Europe,89.61, European Commission DG REGIO,508
Proportion of population with access to public transport,Tatabánya,Hungary,Northern America and Europe,86.92, European Commission DG REGIO,509
Proportion of population with access to public transport,Aitemelloul,Morocco,Western Asia and Northern Africa ,73.53,UN-Habitat Urban Indicators Database,510
Proportion of population with access to public transport,Örebro,Sweden,Northern America and Europe,83.17, European Commission DG REGIO,511
Proportion of population with access to public transport,Slough,United Kingdom,Northern America and Europe,92.07, European Commission DG REGIO,512
Proportion of population with access to public transport,Sofia,Bulgaria,Northern America and Europe,92.07, European Commission DG REGIO,513
Proportion of population with access to public transport,Nyíregyháza,Hungary,Northern America and Europe,92.08, European Commission DG REGIO,514
Proportion of population with access to public transport,Oulu / Uleåborg,Finland,Northern America and Europe,92.08, European Commission DG REGIO,515
Proportion of population with access to public transport,Avignon,France,Northern America and Europe,92.09, European Commission DG REGIO,516
Proportion of population with access to public transport,Chambery,France,Northern America and Europe,92.09, European Commission DG REGIO,517
Proportion of population with access to public transport,Klaip?da,Lithuania,Northern America and Europe,92.15, European Commission DG REGIO,518
Proportion of population with access to public transport,Liberec,Czech Republic,Northern America and Europe,92.16, European Commission DG REGIO,519
Proportion of population with access to public transport,Coatbridge,United Kingdom,Northern America and Europe,92.2, European Commission DG REGIO,520
Proportion of population with access to public transport,?eské Bud?jovice,Czech Republic,Northern America and Europe,92.23, European Commission DG REGIO,521
Proportion of population with access to public transport,Inowroc?aw,Poland,Northern America and Europe,92.25, European Commission DG REGIO,522
Proportion of population with access to public transport,Esslingen am Neckar,Germany,Northern America and Europe,92.26, European Commission DG REGIO,523
Proportion of population with access to public transport,Gniezno,Poland,Northern America and Europe,92.27, European Commission DG REGIO,524
Proportion of population with access to public transport,Szeged,Hungary,Northern America and Europe,92.28, European Commission DG REGIO,525
Proportion of population with access to public transport,Nitra,Slovakia,Northern America and Europe,92.3, European Commission DG REGIO,526
Proportion of population with access to public transport,Rijeka,Croatia,Northern America and Europe,92.3, European Commission DG REGIO,527
Proportion of population with access to public transport,Washington,United Kingdom,Northern America and Europe,92.3, European Commission DG REGIO,528
Proportion of population with access to public transport,Brno,Czech Republic,Northern America and Europe,92.35, European Commission DG REGIO,529
Proportion of population with access to public transport,G?ogów,Poland,Northern America and Europe,92.38, European Commission DG REGIO,530
Proportion of population with access to public transport,Tilburg,Netherlands,Northern America and Europe,92.39, European Commission DG REGIO,531
Proportion of population with access to public transport,Mys?owice,Poland,Northern America and Europe,92.44, European Commission DG REGIO,532
Proportion of population with access to public transport,Neuss,Germany,Northern America and Europe,92.45, European Commission DG REGIO,533
